589	12.64	4673	1686	1.02	1130	0	0	48	35	113	0.00	0.26	0.40	86.50	0.49	0.00	73.59	85	11809	86	100.72	99.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.61	12.66	0.00	0.00	0.00	0.00	3600
590	12.59	4674	1693	1.02	1157	0	0	31	38	172	0.00	0.16	0.44	86.99	0.24	0.00	73.87	86	11809	86	100.98	99.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.71	12.73	0.00	0.00	0.00	0.00	3600
594	12.72	4666	1689	1.02	1174	0	0	83	22	203	0.00	0.50	0.23	86.51	0.93	0.00	73.00	86	11809	86	101.37	99.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.75	12.77	0.00	0.00	0.00	0.00	3600
591	12.68	4658	1690	1.02	1203	0	0	84	66	164	0.00	0.64	0.76	85.91	1.01	0.00	72.95	89	11809	88	101.27	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.71	12.73	0.00	0.00	0.00	0.00	3600
589	12.61	4674	1690	1.02	1133	0	0	45	29	131	0.00	0.34	0.34	86.70	0.43	0.00	73.68	89	11809	88	100.80	99.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.71	12.72	0.00	0.00	0.00	0.00	3600
589	12.60	4674	1690	1.02	1113	0	0	31	10	144	0.00	0.15	0.10	87.12	0.31	0.00	73.81	88	11809	88	100.71	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.70	12.70	0.00	0.00	0.00	0.00	3600
589	12.60	4677	1690	1.02	1096	0	0	38	4	122	0.00	0.23	0.04	87.11	0.45	0.00	73.71	88	11809	88	100.63	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.73	12.73	0.00	0.00	0.00	0.00	3600
590	12.62	4673	1689	1.02	1126	0	0	35	28	156	0.00	0.19	0.31	86.85	0.33	0.00	73.72	91	11809	90	100.88	99.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.75	12.74	0.00	0.00	0.00	0.00	3600
590	12.67	4667	1686	1.02	1173	0	0	52	50	152	0.00	0.41	0.58	86.11	0.55	0.00	73.46	89	11809	89	100.98	99.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.73	12.72	0.00	0.00	0.00	0.00	3600
589	12.57	4675	1694	1.02	1122	0	0	30	6	162	0.00	0.18	0.06	87.39	0.29	0.00	73.83	91	11809	91	100.84	99.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.92	12.89	0.00	0.00	0.00	0.00	3600
